PLAYER;AGE;GP;W;TS.PCT;USG.PCT;POSS;3PTS.PCT;FG.PCT;PTS;REB;AST;TOV;STL;BLK;EFF;SALARY
Rodney McGruder;30;51;13;57.7;14.2;1597;39.7;43.6;5.4;2.2;0.9;0.5;0.4;0.1;5.9;1.94
Carsen Edwards;24;4;1;37.8;17.9;165;0;0;0;1;1;0.3;0;0;-0.9;1.86
Deividas Sirvydis;22;3;1;15;14.9;61;37.9;45.4;4.4;2.9;2.4;0.6;1.2;0.2;8.5;1.6
Stephen Curry;34;64;45;60.1;29.3;4649;38;43.7;25.5;5.2;6.3;3.2;1.3;0.4;24.4;45.78
Klay Thompson;21;24;6;46.6;20.9;728;38.5;42.9;20.4;3.9;2.8;1.3;0.5;0.5;16.4;37.98
Andrew Wiggins;27;73;47;56;22.4;4836;39.3;46.6;17.2;4.5;2.2;1.5;1;0.7;15.4;31.58
Draymond Green;32;46;34;58.2;14;2797;29.6;52.5;7.5;7.3;7;3;1.3;1.1;17.8;24.03
Jonathan Kuminga;19;70;44;60;22.7;2457;0;0;0;1;0;0;1;0;2;5.47
Kevon Looney;22;61;16;53.1;23.9;4048;0;57.1;6;7.3;2;0.8;0.6;0.6;13.2;5.18
Moses Moody;20;52;35;57.3;14.8;1282;36.4;43.7;4.4;1.5;0.4;0.3;0.1;0.2;4.1;3.56
Andre Iguodala;38;31;20;47.8;11.3;1253;23;38;4;3.2;3.7;0.9;0.9;0.7;9.1;2.64
Otto Porter Jr.;29;63;41;58.1;14.5;2925;37;46.4;8.2;5.7;1.5;0.6;1.1;0.5;12.7;2.39
Jordan Poole;23;76;49;59.8;25.2;4765;16.7;9.1;1.3;2;0;0.3;0.3;0;0.8;2.16
Nemanja Bjelica;34;71;48;57.3;17.5;2368;36.2;46.8;6.1;4.1;2.2;1.2;0.6;0.4;9.4;2.09
Damion Lee;29;63;41;56.1;15.6;2622;34;41.1;18.1;3.3;7.1;2.5;1;0.3;17.8;1.91
Juan Toscano-Anderson;29;73;51;56.1;14.4;2045;32.2;48.9;4.1;2.4;1.7;0.9;0.7;0.2;6.1;1.7
Gary Payton II;29;71;47;67.9;14;2591;35.8;61.6;7.1;3.5;0.9;0.6;1.4;0.3;10.5;1.67
Eric Gordon;33;57;19;61.4;18.2;3576;41.2;47.5;13.4;2;2.7;1.9;0.5;0.3;11.2;18.22
Christian Wood;26;68;19;59.5;23.3;4443;38.8;46;22.1;4.3;5.1;2;1.1;0.4;20;13.67
Jalen Green;20;67;12;54.7;23.4;4563;21.4;36.1;11.8;3.6;4.4;3;1.2;0.4;10.3;8.99
Dennis Schroder;28;64;32;53.9;22.3;3757;34.4;43.1;13.5;3.3;4.6;2.2;0.8;0.1;13.3;5.89
David Nwaba;29;46;6;56.7;15;1309;30.6;48.3;5.1;3.3;0.8;0.5;0.6;0.4;7.2;4.65
Alperen Sengun;19;72;18;55.2;21.4;3161;24.8;47.4;9.6;5.5;2.6;2;0.8;0.9;12.7;3.21
Usman Garuba;20;24;2;51;9.1;517;25;43.2;2;3.5;0.7;0.3;0.4;0.5;5.7;2.35
Josh Christopher;20;74;18;53.4;20.5;2846;26.3;41.9;12.5;7.8;6.4;3.2;0.9;0.4;17.1;2.26
Garrison Mathews;25;65;19;60.2;13.7;3653;36;39.9;10;2.9;1;0.6;0.9;0.4;9.7;2
Bruno Fernando;23;30;15;67.1;19.7;338;50;65.5;2.9;1.8;0.2;0.5;0;0.4;3.9;1.78
Kevin Porter Jr.;29;24;16;40.8;14.3;346;37.5;41.5;15.6;4.4;6.2;3.1;1.1;0.4;15.7;1.78
Jae'Sean Tate;26;78;19;56.7;19.4;4361;100;61.8;13.5;9.3;2.8;1.6;0.7;1.7;21.2;1.52
Kenyon Martin Jr.;29;77;34;56.8;18.5;4816;35.7;53.3;8.8;3.8;1.3;0.8;0.4;0.5;10.3;1.52
Buddy Hield;29;81;26;54.8;21.4;5242;36.6;40.6;15.6;4.4;2.8;1.9;0.9;0.3;13.8;23.07
Malcolm Brogdon;29;36;14;55.7;24.1;2479;36.1;46.2;3.8;1.8;0.4;0.2;0.4;0.2;4.9;21.7
Myles Turner;26;42;15;61.5;17.3;2511;33.3;50.9;12.9;7.1;1;1.3;0.7;2.8;18;18
Ricky Rubio;22;10;0;53.7;22.2;385;33.9;36.3;13.1;4.1;6.6;2.6;1.4;0.2;14.7;17.8
T.J. McConnell;30;27;9;52.5;15.7;1379;30.3;48.1;8.5;3.3;4.9;1.1;1.1;0.4;12.9;7.5
Jalen Smith;22;51;29;59.5;19.3;1930;33;41;22;7.7;10.3;4.4;1.3;0.6;27.5;4.46
Tyrese Haliburton;22;77;26;59.5;18.4;5655;41.4;47.3;15.3;4;8.2;2.6;1.7;0.6;20.6;4.02
Chris Duarte;25;55;21;53.7;20.7;3193;39;50.1;17.9;10.1;2.3;1.9;0.8;1;21.9;3.75
Goga Bitadze;22;50;17;59.5;19.1;1531;28.8;52;7;3.5;1.1;0.9;0.4;0.8;8.9;3.1
Isaiah Jackson;20;36;9;60.7;21.4;1158;31.3;56.3;8.3;4.1;0.3;1.1;0.7;1.4;10.5;2.45
Oshae Brissett;24;67;19;53;16.6;3288;35;41.1;9.1;5.3;1.1;0.8;0.7;0.4;10.6;1.7
Lance Stephenson;31;46;11;53.6;21.9;1720;30;45.5;8.3;2.8;3.6;1.6;0.5;0.1;9.6;1.61
Paul George;33;81;44;56.3;16;4933;35.4;42.1;24.3;6.9;5.7;4.1;2.2;0.4;22.8;39.34
Marcus Morris Sr.;32;54;26;54.9;22.8;3191;33.1;41.8;12.1;3.8;5.9;2.2;1.7;0.3;15.2;15.63
Norman Powell;29;45;15;60.3;23.1;3027;41.9;46.1;19;3.2;2.1;1.5;0.9;0.5;16;15.52
Luke Kennard;26;70;35;61.9;16;3963;44.9;44.9;11.9;3.3;2.1;0.9;0.6;0.1;12;13.35
Robert Covington;31;71;34;57.2;13.4;4035;37.8;42;8.5;5.5;1.3;1.1;1.5;1.3;12.7;12.98
Nicolas Batum;33;59;31;60.8;13;3041;40;46.3;8.3;4.3;1.7;0.7;1;0.7;11.5;12.03
Reggie Jackson;24;5;2;86.9;7.5;162;32.6;39.2;16.8;3.6;4.8;2.3;0.7;0.2;13.5;10.38
Ivica Zubac;25;76;40;66;16.8;3786;0;62.6;10.3;8.5;1.6;1.5;0.5;1;17.2;7.52
Rodney Hood;29;52;30;49.3;10.6;1482;33;36.9;3.1;1.5;0.7;0.2;0.3;0.1;3.5;2.24
Semi Ojeleye;27;30;14;43.8;12.6;845;30;30.3;3.3;2.5;0.3;0.3;0.2;0.2;3.7;1.79
Terance Mann;25;81;41;57.2;15.7;4768;36.5;48.4;10.8;5.2;2.6;1;0.7;0.3;13.8;1.78
Isaiah Hartenstein;24;68;37;66.4;17.7;2547;46.7;62.6;8.3;4.9;2.4;1.2;0.7;1.1;13.6;1.73
Russell Westbrook;33;78;31;51.2;26.4;5730;29.8;44.4;18.5;7.4;7.1;3.8;1;0.3;20;44.21
LeBron James;37;56;25;61.9;31.7;4380;35.9;52.4;30.3;8.2;6.2;3.5;1.3;1.1;26.2;41.18
Anthony Davis;29;40;17;57.8;26.3;2977;18.6;53.2;23.2;9.9;3.1;2.1;1.2;2.3;27.8;35.36
Talen Horton-Tucker;21;60;23;50.3;18.9;3179;26.9;41.6;10;3.2;2.7;1.4;1;0.5;10.3;9.5
D.J. Augustin;34;55;15;61;13.9;1866;0;73.3;7.5;4;1.3;0.5;1.3;0.3;12.4;7.62
Sekou Doumbouya;21;2;0;71.7;28.6;36;50;62.5;7;3;0;1;1.5;1;9.5;3.8
Avery Bradley;31;62;27;55;11.9;2953;39;42.3;6.4;2.2;0.8;0.6;0.9;0.1;6.6;2.64
Carmelo Anthony;38;69;27;57.9;19.5;3862;33.3;36.4;2;0.1;1;0.4;0;0;1.7;2.64
Dwight Howard;36;60;21;65.7;14.5;2019;53.3;61.2;6.2;5.9;0.6;0.8;0.6;0.6;10.8;2.64
Trevor Ariza;37;24;8;44.9;11;955;27;33.3;4;3.4;1.1;0.5;0.5;0.3;5.7;2.64
Wayne Ellington;34;43;15;59.3;13.5;1708;38.9;41.4;6.7;1.8;0.7;0.4;0.5;0.1;6.1;2.64
Kent Bazemore;27;49;17;53.2;15.3;2211;36.3;32.4;3.4;1.8;0.9;0.5;0.6;0.2;3.9;2.4
Malik Monk;24;76;32;59.7;19.5;4546;0;60;8;1;1;1;0;0;7;1.79
Steven Adams;28;76;51;56;11.8;4150;0;54.7;6.9;10;3.4;1.5;0.9;0.8;17;17.07
Dillon Brooks;26;32;22;51.5;28.3;1872;30.9;43.2;18.4;3.2;2.8;1.6;1.1;0.3;14.4;12.2
Kyle Anderson;26;51;26;57.7;28.6;3030;33;44.6;7.6;5.3;2.7;1;1.1;0.7;12.1;9.94
Ja Morant;22;57;36;57.5;33;4003;50;47.4;4.4;2.3;0.5;0.7;0.3;0.1;5.2;9.6
Jaren Jackson Jr.;22;78;53;53.5;24.8;4518;10;67.7;16.1;10.8;1.6;1.7;0.8;1.3;24.5;9.18
De'Anthony Melton;24;73;49;52.9;20.5;3587;36.8;63.4;17.2;10.2;1.4;1.6;0.7;0.7;23.6;8.81
Tyus Jones;26;73;51;54.4;16.4;3262;39;45.1;8.7;2.4;4.4;0.6;0.9;0;11.4;8.38
Jarrett Culver;23;37;28;43.3;19.9;727;22.2;62.9;9.2;6.7;0.6;1.3;0.3;1.1;13.7;6.4
Ziaire Williams;20;62;41;55.9;14.4;2896;31.4;45;8.1;2.1;1;0.7;0.6;0.2;7.4;4.37
Brandon Clarke;25;64;44;66;17.1;2703;22.7;64.4;10.4;5.3;1.3;0.5;0.6;1.1;15;2.73
John Konchar;26;72;48;61.5;9.7;2745;0;0;0;0.7;0.3;0;0.3;0;0.3;2.2
Desmond Bane;24;76;53;59.2;22.6;4770;43.6;46.1;18.2;4.4;2.7;1.5;1.2;0.4;17.4;2.03
Santi Aldama;21;32;20;45.2;17.4;765;12.5;40.2;4.1;2.7;0.7;0.5;0.2;0.3;4.7;1.99
Killian Tillie;20;66;21;46.1;15.4;3437;31.4;33.9;3.3;1.7;0.6;0.4;0.6;0.4;3.8;1.9
Tyrell Terry;21;2;2;100;11.1;8;0;100;1;0;0;0;0;0;1;1.87
Sam Merrill;26;6;2;48.5;17.8;122;30.4;33.3;4.2;1.2;0.7;0.3;0;0;2.7;1.52
Xavier Tillman;23;53;35;51;16.4;1469;20.4;45.4;4.8;3;1.2;0.6;0.9;0.3;6.9;1.52
Jimmy Butler;32;57;38;59.2;26;3886;32.6;49.5;4.9;2.6;0.8;0.6;0.2;0.3;6.1;36.02
Bam Adebayo;24;56;36;60.8;24.8;3696;36.2;40.1;10.2;1.6;0.9;0.9;0.6;0.2;7.3;28.1
Kyle Lowry;26;66;29;54.7;23.8;4541;37.7;44;13.4;4.5;7.5;2.7;1.1;0.3;18;26.98
Duncan Robinson;28;79;52;57.3;17.4;4106;37.2;39.9;10.9;2.6;1.6;0.8;0.5;0.2;9.3;15.65
P.J. Tucker;37;71;45;59.3;11.6;3970;41.5;48.4;7.6;5.5;2.1;0.9;0.8;0.2;11.9;7
Dewayne Dedmon;32;67;43;63.2;16.4;2169;40.4;56.6;6.3;5.8;0.7;1;0.4;0.6;10.5;5.26
Tyler Herro;22;66;44;56.1;27.8;4391;39.9;44.7;20.7;5;4;2.6;0.7;0.1;18.1;4
Markieff Morris;32;17;10;54.7;19.7;613;20;26.7;1.9;1.1;0;0.2;0.1;0.1;1.4;2.64
Udonis Haslem;42;13;10;49.5;18.3;179;25;45.2;2.5;1.9;0.3;0.4;0.1;0.1;3.2;2.64
Victor Oladipo;30;8;4;60.8;24.7;359;41.7;47.9;12.4;2.9;3.5;2;0.6;0.1;12.2;2.39
Gabe Vincent;26;68;47;55.1;17.4;3232;36.8;41.7;8.7;1.9;3.1;1.4;0.9;0.2;8.8;1.67
Max Strus;26;68;46;61.4;17.7;3205;32.5;39.8;7;5.9;1.2;0.8;0.5;1;10.9;1.67
Giannis Antetokounmpo;27;67;45;63.3;34;4743;29.3;55.3;29.9;11.6;5.8;3.3;1.1;1.4;35.1;39.34
Khris Middleton;29;55;34;53.4;10.8;2021;37.3;44.3;20.1;5.4;5.4;2.9;1.2;0.3;20.3;35.5
Jrue Holiday;32;67;47;59.3;23.1;4666;25.9;43.6;2;1.3;0.6;0.3;0.2;0.3;2.9;31.17
Brook Lopez;34;13;10;57;21.1;639;35.8;46.6;12.4;4.1;0.5;0.9;0.6;1.2;12.2;13.3
Serge Ibaka;32;54;30;57.9;17.2;1856;37.4;50;6.8;4.6;0.9;0.8;0.2;0.6;9.3;9.72
Pat Connaughton;28;68;40;56.5;25.7;5177;39.5;45.8;9.9;4.2;1.3;0.5;0.9;0.2;11.8;5.33
George Hill;36;54;36;55.2;11.5;2652;30.6;42.9;6.2;2.9;2.2;0.8;0.8;0.1;8.5;5.28
Bobby Portis;27;72;46;57.1;20.7;4311;39.3;47.9;14.6;9.1;1.2;1.3;0.7;0.7;18.3;4.35
Jevon Carter;26;66;39;53.1;13.5;1922;23.3;48;21.4;5.9;5.5;2.1;1.6;0.5;24.2;4.11
Grayson Allen;26;66;43;60.9;14.8;3842;40.9;44.8;11.1;3.4;1.5;0.7;0.7;0.3;11.5;4.05
DeAndre' Bembry;27;56;31;60.1;11.1;2149;37.9;44.2;13.4;3.3;1.3;1.3;0.7;0.4;11.1;2.27
Wesley Matthews;35;49;33;53.6;10.4;2142;33.8;39.5;5.1;1.9;0.7;0.4;0.5;0.2;5.1;1.96
Thanasis Antetokounmpo;29;48;26;57.7;15.5;1002;14.3;54.7;3.6;2.1;0.5;0.5;0.3;0.3;4.7;1.73
Jordan Nwora;23;62;34;50.6;18.7;2548;36.4;44.8;18.5;3.4;4;2.5;0.8;0.3;16.5;1.52
Karl-Anthony Towns;21;21;14;62.8;15;136;41;52.9;24.6;9.8;3.6;3.1;1;1.1;28.2;31.65
D'Angelo Russell;26;65;39;54.4;24.6;4431;41.5;42.3;5.3;1.2;1.9;1;0.3;0;5.3;30.01
Malik Beasley;25;79;46;54.4;18.9;4250;50;42.1;1.4;1.1;0.3;0.1;0;0;1.9;14.49
Patrick Beverley;29;65;41;62;13.7;3583;34.3;40.6;9.2;4.1;4.6;1.3;1.2;0.9;13.7;14.32
Taurean Prince;28;69;40;58.9;16.6;2553;37.6;45.4;7.3;2.5;1;0.8;0.7;0.3;7.6;13.33
Anthony Edwards;20;72;39;56;26.2;5189;35.7;44.1;21.3;4.8;3.8;2.6;1.5;0.6;18.9;10.25
Josh Okogie;23;49;23;52.6;11.5;1133;41.5;43.8;10.2;2.8;1.8;1;0.9;0.4;10.3;4.09
Jarred Vanderbilt;23;74;41;61.2;10.8;3941;25.5;37.8;3.5;1.3;0.9;0.5;0.5;0.1;3.1;4.05
Jake Layman;28;34;20;50;16;509;23.1;53.7;2.4;1.2;0.1;0.4;0.1;0.1;2.5;3.94
Jaden McDaniels;21;70;40;55.3;14.9;3840;27.8;41.4;3.2;0.7;0.4;0.3;0.1;0.1;2.1;2.06
Jordan McLaughlin;26;62;36;53.5;11.5;1976;34.8;40.3;7.9;3.6;1;0.9;0.4;0.3;7.7;2
Jaylen Nowell;22;62;37;58.1;20.5;2107;0;0;0;1;1;1;0;0;-2;1.78
Naz Reid;22;77;42;58.8;20.9;2616;34.3;48.9;8.3;3.9;0.9;1.1;0.5;0.9;9.8;1.78
CJ McCollum;30;62;28;55.3;26.9;4437;41.3;50.7;9.2;3.8;1.1;0.9;1;0.5;11;30.86
Brandon Ingram;24;55;29;55.4;29.1;3817;32.7;46.1;22.7;5.8;5.6;2.7;0.6;0.5;21.7;29.47
Jonas Valanciunas;30;74;34;61.7;23.8;4562;33.6;51.3;9.3;3.3;0.9;1.1;0.4;0.3;9.1;14
Devonte' Graham;27;76;34;51.4;19.1;4455;34.1;36.3;11.9;2.3;4.2;1.4;0.9;0.2;11.1;11
Larry Nance Jr.;29;46;19;59;12.8;2118;32.9;52.2;7;5.4;1.8;0.8;0.9;0.4;11.8;10.69
Jaxson Hayes;22;70;29;68;15.9;2914;0;0;0;1;0.3;0.3;0.3;0.3;0.8;5.35
Garrett Temple;36;59;23;49.4;13.6;2267;31.9;37.6;5.2;2.4;1.3;0.7;0.7;0.4;6;4.91
Kira Lewis Jr.;24;36;27;45.2;12.8;955;22.4;40.4;5.9;1.6;2;1.1;0.5;0;5.2;3.82
Trey Murphy III;22;62;31;55.8;14.7;1810;38.2;39.4;5.4;2.4;0.6;0.3;0.4;0.1;5.8;3.05
Tony Snell;30;53;19;54.1;9.9;1714;35.2;40.4;3.5;1.9;0.5;0.4;0.3;0.2;4.1;2.39
Willy Hernangomez;28;50;22;58.2;21.1;1773;33.3;52;9.1;6.8;1.3;1;0.4;0.4;13.3;2.33
Jose Alvarado;24;54;25;52;17.4;1756;29.6;44.8;7.9;2.5;2;1.5;0.9;0.2;7.8;1.93
Herbert Jones;23;78;36;57.3;13.6;4796;33.7;47.6;9.5;3.8;2.1;1.3;1.7;0.8;12.4;1.7
Naji Marshall;24;55;23;50.5;19.7;1557;20;40.5;5.7;2.6;1.1;0.8;0.6;0.1;6;1.52
Kemba Walker;26;76;39;56;22.3;4235;36.7;40.3;11.6;3;3.5;1.3;0.7;0.2;11.4;34.97
Julius Randle;27;72;32;50.9;27.9;5187;30.8;41.1;20.1;9.9;5.1;3.4;0.7;0.5;21.3;19.8
Evan Fournier;29;80;36;55.4;20.1;4828;38.9;41.7;14.1;2.6;2.1;1.3;1;0.3;11.3;17.14
Derrick Rose;33;26;11;54.1;21.7;1300;40.2;44.5;12;3;4;1.5;0.8;0.5;13;13.45
Alec Burks;30;81;37;55.9;17.1;4691;40.4;39.1;11.7;4.9;3;1.1;1;0.3;13.7;9.54
Nerlens Noel;28;25;10;58.1;7.2;1157;0;53.3;3.4;5.6;0.9;0.8;1.2;1.2;10;8.8
RJ Barrett;28;45;16;68.9;15.3;2274;34.2;40.8;20;5.8;3;2.2;0.6;0.2;15.6;8.62
Obi Toppin;24;72;32;61.4;20.5;2494;30.8;53.1;9;3.7;1.1;0.8;0.3;0.5;10.3;5.11
Taj Gibson;37;52;24;60.6;9.9;1897;39.5;51.8;4.4;4.4;0.6;0.5;0.4;0.8;8.4;4.91
Cam Reddish;22;49;20;54.3;21.3;2118;33.3;35.7;4.7;5;1;0;0;0.3;8;4.67
Immanuel Quickley;23;78;35;54.3;21.7;3626;34.6;39.2;11.3;3.2;3.5;1.3;0.7;0;11.4;2.21
Quentin Grimes;22;73;46;50.3;18;3483;35.9;43.9;9.1;6.5;1.1;1.2;0.5;0.6;11.2;2.17
Mitchell Robinson;24;72;32;72.2;11;3739;12.5;22.2;0.3;0.4;0.3;0.1;0;0;0.3;1.8
Derrick Favors;30;39;15;53.4;13.1;1360;12.5;51.6;5.3;4.7;0.6;0.2;0.4;0.3;8.6;9.72
Josh Giddey;19;54;17;47.8;21.8;3538;35.9;50.8;4.8;2.4;1.2;0.7;0.7;0.2;6.5;5.99
Shai Gilgeous-Alexander;23;56;16;55.7;29.8;4102;30;45.3;24.5;5;5.9;2.8;1.3;0.8;23.1;5.5
Mike Muscala;30;43;15;63;19.8;1261;33.1;49.1;20.2;7;3.8;1.9;0.9;0.8;22.2;3.5
Aleksej Pokusevski;20;61;19;48.5;19.5;2595;28.9;40.8;7.6;5.2;2.1;1.5;0.6;0.6;9.9;3.11
Tre Mann;21;60;17;50.1;21.3;2869;36;39.3;10.4;2.9;1.5;1.2;0.8;0.2;8.4;2.9
Darius Bazley;22;69;19;51.5;18;4038;29.7;42.2;10.8;6.3;1.4;1.3;0.8;1;12.8;2.51
Ty Jerome;24;48;15;48.8;20.5;1661;29;37.8;7.1;1.6;2.3;0.8;0.6;0.1;6.5;2.41
Jeremiah Robinson-Earl;21;49;15;52.6;15.2;2247;32.4;38.3;7.3;2.8;1.4;0.7;0.6;0.4;7.7;2
Kenrich Williams;32;37;16;53.7;20.2;1951;33.9;46.1;7.4;4.5;2.2;0.9;0.9;0.2;10.3;2
Theo Maledon;21;51;14;50;20.1;1901;29.3;37.5;7.1;2.6;2.2;1.3;0.6;0.2;7;2
Isaiah Roby;24;45;10;60.7;18.5;2014;44.4;51.4;10.1;4.8;1.6;1;0.8;0.8;12.7;1.78
Luguentz Dort;23;51;17;54.1;22.8;3490;33.2;40.4;17.2;4.2;1.7;1.7;0.9;0.4;13.7;1.78
Gabriel Deck;27;7;2;64.3;11.9;120;50;57.1;2.6;0.9;0.7;0.3;0.1;0;3.1;1.69
Gary Harris;27;61;16;57.1;16;3631;38.4;43.4;11.1;2;1.8;1;1;0.1;9.6;20.93
Markelle Fultz;24;18;6;51.7;26.5;774;33.3;47.4;7.6;2.6;1.4;1.2;0.4;0.1;7.4;16.5
Terrence Ross;31;63;14;51.5;19.6;3059;29.2;39.7;10;2.6;1.8;1.2;0.4;0.2;8.2;12.5
Mo Bamba;24;71;19;58.2;17;3800;38.1;48;10.6;8.1;1.2;1.1;0.5;1.7;16.3;7.57
Wendell Carter Jr.;23;62;16;60.1;20.6;3876;32.7;52.5;15;10.5;2.8;1.9;0.6;0.7;21.5;6.92
Jalen Suggs;21;48;16;45.5;24.4;2785;27.1;46.9;5.5;3.5;2.1;0.8;0.5;0.5;8.2;6.59
Franz Wagner;20;79;21;55.9;20.8;5070;35.4;46.8;15.2;4.5;2.9;1.5;0.9;0.4;15.5;5.01
Robin Lopez;34;36;9;57;18.2;1280;33.3;55.3;7.1;3.5;1.5;1.2;0.1;0.5;8.5;5
Cole Anthony;22;65;18;51.9;24.5;4283;33.8;39.1;16.3;5.4;5.7;2.6;0.7;0.3;16.7;3.45
Chuma Okeke;23;70;21;50.1;15.9;3709;0;0;0;0;0;0;0;0;0;3.28
R.J. Hampton;25;11;8;64.7;15;158;20;57.1;2.7;1.3;0.5;0.3;0.1;0.1;3.6;2.3
Bol Bol;22;14;5;56.5;16;177;25;55.6;2.4;1.4;0.4;0.3;0.1;0.1;3;2.16
Moritz Wagner;25;63;16;62.3;22.4;2041;32.8;49.7;9;3.7;1.4;0.9;0.3;0.2;10.2;1.73
James Harden;32;65;40;58.3;26.6;5015;0;0;0;0;0.5;0;0;0;0;44.31
Tobias Harris;29;73;45;56.6;21.4;5131;36.7;48.2;17.2;6.8;3.5;1.6;0.6;0.6;19.4;36
Joel Embiid;28;68;45;61.6;37.5;4640;36.4;52.6;16.2;7.8;1.8;1.1;0.6;1;20.1;31.58
DeAndre Jordan;33;48;26;64.1;13.2;1321;41.7;56.1;5.1;2.9;1.2;0.6;0.9;0.4;8;11.11
Danny Green;35;62;37;56.1;12.1;2784;37.6;40.4;5.9;2.6;1;0.8;0.5;0.4;6.4;10
Furkan Korkmaz;24;67;44;50.2;17;2929;28.9;38.7;7.6;2.6;1.9;0.7;0.5;0.1;7.4;4.63
Willie Cauley-Stein;28;20;12;47.4;9.9;387;50;45.7;1.7;2;0.5;0.4;0.3;0.2;3.3;4.22
Georges Niang;29;76;48;59.4;16;3575;40.3;43.7;9.2;2.7;1.3;0.8;0.4;0.2;8.7;3.3
Matisse Thybulle;25;66;43;59.4;9.5;3398;0;0;0;0;0;1;1;0;-1;2.84
Paul Millsap;32;31;18;53.8;32.9;2242;22.9;39.1;3.5;3.5;0.9;0.6;0.3;0.4;5.7;2.64
Tyrese Maxey;21;75;45;59.4;19.9;5362;42.7;48.5;17.5;3.2;4.3;1.2;0.7;0.4;17.5;2.6
Jaden Springer;19;2;2;100;11.8;13;0;0;0;0;0;0;0;0;0;2.02
Shake Milton;25;55;34;51.7;17.4;2412;32.3;42.9;8.2;2.6;2.5;0.8;0.5;0.3;8.9;1.85
Isaiah Joe;22;55;35;51.9;14.4;1262;33.3;35;3.6;1;0.6;0.3;0.3;0.1;3.1;1.52
Paul Reed;37;33;22;45.8;15.8;782;25;56.3;3.1;2.4;0.4;0.3;0.9;0.4;5.6;1.52
Devin Booker;25;68;56;57.6;31.3;4943;38.3;46.6;26.8;5;4.8;2.4;1.1;0.4;23.8;31.65
Chris Paul;37;65;53;58.1;19.7;4466;31.8;37.6;8.6;5;1.7;0.8;1.4;0.6;11.3;30.8
Deandre Ayton;23;58;46;65.6;21.7;3590;32.7;46.2;21.1;8.3;9.2;2.6;2;0.3;27.7;12.63
Jae Crowder;31;67;54;54.1;14.6;3966;22.9;41.1;2.4;1.1;0.3;0.3;0.2;0.1;2.5;9.72
Cameron Payne;27;58;46;50;23.5;2725;37.5;44.1;13.3;4.2;1;0.9;0.7;0.8;12.8;6.5
Mikal Bridges;25;82;64;62.7;14.9;5976;40.8;43.5;13.7;3;5.3;1.7;1.3;0.3;15.2;5.56
JaVale McGee;34;74;57;65.1;21.4;2479;34.8;39.9;9.4;5.3;1.9;0.8;1.4;0.4;12.5;5
Torrey Craig;31;78;36;55.6;13.9;3329;32.9;45.4;6.6;4;1.2;0.9;0.6;0.5;8.7;4.88
Cameron Johnson;26;66;50;62.5;16.7;3680;33.6;40.9;10.8;3;4.9;1.8;0.7;0.3;11.7;4.44
Chandler Hutchison;26;6;4;69.4;11.1;52;33.3;31.3;6.2;3.2;0.8;0.2;0.4;0;5.8;4.22
Aaron Holiday;25;63;34;54.4;18.2;2113;37.9;44.7;6.3;1.9;2.4;1.1;0.7;0.1;7.1;3.98
Landry Shamet;25;69;53;55;16;3045;36.8;39.4;8.3;1.8;1.6;0.6;0.4;0.1;7.2;3.77
Elfrid Payton;28;50;39;39.7;17.5;1161;22.2;38.3;3;1.8;2;0.9;0.5;0.1;3.9;2.24
Frank Kaminsky;29;9;8;63.5;18.5;398;33.3;54.5;10.6;4.6;1.4;0.6;0.9;0.8;14.2;2.09
