PLAYER;AGE;GP;W;TS.PCT;USG.PCT;POSS;3PTS.PCT;FG.PCT;PTS;REB;AST;TOV;STL;BLK;EFF;SALARY
Gary Trent Jr.;23;70;44;54.6;21.2;4997;38.3;41.4;18.3;2.7;2;1;1.7;0.3;14.5;16.23
O.G. Anunoby;24;48;31;54.9;20.4;3494;36.3;44.3;17.1;5.5;2.6;1.7;1.5;0.5;16.8;16.07
Thaddeus Young;34;52;27;54.8;16.9;1764;35.4;51.8;6.2;4;2;1;1;0.3;9.5;14.19
Scottie Barnes;20;74;43;55.2;18.7;5277;30.1;49.2;15.3;7.5;3.5;1.8;1.1;0.7;19.1;7.28
Chris Boucher;29;80;48;57;17.2;3440;31.7;49.3;14.7;4.4;10.8;2.4;1.9;0.3;23.5;7.02
Khem Birch;26;82;53;58.6;12;3574;0;48.5;4.5;4.3;1;0.5;0.5;0.5;8.2;6.35
Precious Achiuwa;26;13;3;41.8;20.8;88;31.3;36.4;5.4;3.5;1.6;0.7;0.6;0.3;7.1;2.71
Malachi Flynn;24;44;25;48.8;15.7;1120;31.2;44.8;19.1;5.1;5.9;2.1;0.8;0.4;20.3;2.05
Yuta Watanabe;27;38;21;52.4;16.1;940;34.2;40.6;4.3;2.4;0.6;0.5;0.3;0.4;4.9;1.76
Armoni Brooks;24;54;20;48.3;15.9;1769;29.7;33.9;5.3;1.9;1.1;0.5;0.5;0.2;4.8;1.74
Isaac Bonga;22;15;9;36.3;10.8;151;25;23.1;0.8;0.5;0.3;0.1;0.5;0.1;1.2;1.73
Svi Mykhailiuk;25;56;29;50.9;16.1;1500;30.6;38.9;4.6;1.6;0.8;0.6;0.5;0.1;4.3;1.73
Daniel Oturu;22;3;1;54.9;12.5;58;30.8;51.9;8.2;4.9;0.9;1;0.4;0.7;10.6;1.6
Rudy Gobert;30;66;42;73.2;16.6;4381;0;71.3;15.6;14.7;1.1;1.8;0.7;2.1;28.1;35.34
Donovan Mitchell;25;67;41;57.2;32.2;4662;35.5;44.8;25.9;4.2;5.3;3;1.5;0.2;22.1;28.1
Mike Conley;34;72;44;57.2;20.2;4281;42.9;45.6;8;3;0.5;0.3;0.4;0.6;8.8;21
Bojan Bogdanovic;33;69;45;59.9;23.2;4382;38.7;45.5;18.1;4.3;1.7;1.7;0.5;0;15;18.7
Jordan Clarkson;30;79;47;53.2;25.8;4384;0;0;0;0.5;0;0;0;0;-1;12.42
Royce O'Neale;29;77;46;60.8;9.8;4924;38.9;45.7;7.4;4.8;2.5;1;1.1;0.4;11.9;8.8
Juancho Hernangomez;26;40;20;54.2;13.3;895;34.8;41.5;3.3;2.5;0.5;0.4;0.4;0.3;4.6;6.8
Rudy Gay;35;55;34;53.9;18.5;2161;34.5;41.4;8.1;4.4;1;0.9;0.5;0.3;9.1;5.89
Danuel House Jr.;29;42;18;55.5;14.6;1535;0;50;0.7;0.7;0.3;0;0;0;1.3;5
Nickeil Alexander-Walker;23;65;29;47.5;23.7;3015;31.1;37.2;10.6;2.9;2.4;1.4;0.7;0.4;8.5;3.26
Hassan Whiteside;33;65;40;66.2;16.4;2408;0;65.2;8.2;7.6;0.4;0.8;0.3;1.6;14.5;2.4
Udoka Azubuike;22;17;11;74.3;14.3;408;0;75.5;4.7;4.2;0;0.7;0.1;0.6;8;2.08
Eric Paschall;25;58;36;61.2;17.4;1524;37;48.5;5.8;1.8;0.6;0.5;0.2;0.1;5.5;1.78
Bradley Beal;29;40;17;53.9;29.7;2979;30;45.1;23.2;4.7;6.6;3.4;0.9;0.4;20.9;33.72
Kristaps Porzingis;28;14;1;48.2;17.6;707;31;45.9;20.2;8.1;2.3;1.6;0.7;1.6;22.5;31.65
Kentavious Caldwell-Pope;32;39;16;45.1;12.8;1171;39;43.5;13.2;3.4;1.9;1.3;1.1;0.3;12.3;13.04
Kyle Kuzma;24;19;15;52.6;18.2;402;34.1;45.2;17.1;8.5;3.5;2.6;0.6;0.9;19.3;13
Tomas Satoransky;30;55;21;46.1;12.4;1857;20.8;37.7;3.6;2.3;3.3;0.8;0.5;0.1;6.6;10
Thomas Bryant;24;27;8;60.7;18.8;900;28.6;52;7.4;4;0.9;0.7;0.2;0.8;9.8;8.67
Rui Hachimura;24;42;16;57.9;20.5;1943;44.7;49.1;11.3;3.8;1.1;0.8;0.5;0.2;11;4.92
Deni Avdija;21;82;35;53.6;15.8;4118;31.7;43.2;8.4;5.2;2;1.1;0.7;0.5;11.2;4.69
Ish Smith;33;65;27;46.5;19.5;2364;37.3;43;6.3;2.2;3.8;1.2;0.7;0.4;8.2;4.5
Corey Kispert;23;77;31;58.6;14.2;3712;35;45.5;8.2;2.7;1.1;0.6;0.5;0.3;8.4;3.38
Raul Neto;23;14;6;38;16;127;29.2;46.3;7.5;1.9;3.1;1.1;0.8;0;8.5;2.09
Daniel Gafford;23;72;30;70.8;16;2985;0;50;3;1.7;0;0;0;0.7;3.7;1.78
Anthony Gill;29;44;15;68.2;13.8;972;53.8;56.9;4.1;1.9;0.6;0.4;0.1;0.3;5.3;1.52
Vernon Carey Jr.;21;7;3;53.4;17.9;98;0;53.8;2.9;1.7;0;0.4;0.3;0.1;2.7;1.52
